Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
,,,,,,,
Test Cases/Performance Report/test_daily_buyer_cac_tab,Chrome 120.0.0.0,,,18-01-2024 22:13:22,18-01-2024 22:13:24,1.381s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Tab/Page_/div_Daily Buyer CAC Report""), ""Daily Buyer CAC Report"")",Chrome 120.0.0.0,,,18-01-2024 22:13:22,18-01-2024 22:13:23,0.367s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Tab/Page_/div_Daily Buyer CAC Report""))",Chrome 120.0.0.0,,,18-01-2024 22:13:23,18-01-2024 22:13:23,0.368s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Tab/Page_/div_Daily Buyer CAC Report""))",Chrome 120.0.0.0,,,18-01-2024 22:13:23,18-01-2024 22:13:24,0.582s,PASSED
,,,,,,,
Test Cases/Performance Report/test_daily_buyer_csc_calender,Chrome 120.0.0.0,,,18-01-2024 22:13:24,18-01-2024 22:15:35,2m - 11.630s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/div_18122023clearEnter a date range""))",Chrome 120.0.0.0,,,18-01-2024 22:13:24,18-01-2024 22:13:25,1.161s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/svg_mat-datepicker-toggle-default-icon ng-s_f1b13c""))",Chrome 120.0.0.0,,,18-01-2024 22:13:25,18-01-2024 22:13:57,31.690s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/svg_mat-datepicker-toggle-default-icon ng-s_f1b13c""))",Chrome 120.0.0.0,,,18-01-2024 22:13:57,18-01-2024 22:14:28,31.604s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 22:14:28,18-01-2024 22:14:29,0.991s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 22:14:29,18-01-2024 22:14:30,0.361s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 22:14:30,18-01-2024 22:14:30,0.519s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 22:14:30,18-01-2024 22:14:31,1.106s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 22:14:31,18-01-2024 22:14:32,0.589s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/div_1""))",Chrome 120.0.0.0,,,18-01-2024 22:14:32,18-01-2024 22:15:04,31.597s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Calender/Page_/div_30""))",Chrome 120.0.0.0,,,18-01-2024 22:15:04,18-01-2024 22:15:35,31.909s,PASSED
,,,,,,,
Test Cases/Performance Report/test_daily_buyer_cac_table1,Chrome 120.0.0.0,,,18-01-2024 22:15:35,18-01-2024 22:15:40,4.927s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/h2_Buyer CAC""), ""Buyer CAC"")",Chrome 120.0.0.0,,,18-01-2024 22:15:36,18-01-2024 22:15:37,1.129s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/h2_Buyer CAC""), 0)",Chrome 120.0.0.0,,,18-01-2024 22:15:37,18-01-2024 22:15:37,0.437s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Daily_Buyer_CAC_Table1/Page_/div_Date""), ""Date"")",Chrome 120.0.0.0,,,18-01-2024 22:15:37,18-01-2024 22:15:38,0.405s,PASSED
