Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"executeJavaScript(""document.exitFullscreen();"", null)",Chrome 120.0.0.0,,,17-01-2024 16:14:35,17-01-2024 16:14:35,0.065s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 16:14:35,17-01-2024 16:14:37,2.010s,PASSED
,,,,,,,
Test Cases/Spend Monitoring/test_daily_spend_monitoring_zoom,Chrome 120.0.0.0,,,17-01-2024 16:14:37,17-01-2024 16:14:43,5.947s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Spend_Monitoring_Zoom/Page_/div_Daily Spends Monitoring Report""))",Chrome 120.0.0.0,,,17-01-2024 16:14:37,17-01-2024 16:14:38,0.413s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Spend_Monitoring_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 16:14:38,17-01-2024 16:14:39,0.929s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Spend_Monitoring_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 16:14:39,17-01-2024 16:14:39,0.348s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 16:14:39,17-01-2024 16:14:41,2.021s,PASSED
"executeJavaScript(""document.exitFullscreen();"", null)",Chrome 120.0.0.0,,,17-01-2024 16:14:41,17-01-2024 16:14:41,0.067s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 16:14:41,17-01-2024 16:14:43,2.016s,PASSED
,,,,,,,
Test Cases/Spend Monitoring/test_mtd_spend_monitoring_zoom,Chrome 120.0.0.0,,,17-01-2024 16:14:43,17-01-2024 16:14:49,5.957s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Zoom/Page_/div_MTD Spend Monitoring""))",Chrome 120.0.0.0,,,17-01-2024 16:14:43,17-01-2024 16:14:44,0.415s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 16:14:44,17-01-2024 16:14:45,0.985s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 16:14:45,17-01-2024 16:14:45,0.379s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 16:14:45,17-01-2024 16:14:47,2.007s,PASSED
"executeJavaScript(""document.exitFullscreen();"", null)",Chrome 120.0.0.0,,,17-01-2024 16:14:47,17-01-2024 16:14:47,0.065s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 16:14:47,17-01-2024 16:14:49,2.016s,PASSED
